Place,place_of_birth,ghetto,camps,Latitude,Longitude,total_freq,place_type
Budapest,133.0,7.0,0.0,47.48138955,19.14609412691246,140.0,place_of_birth
Munkács,41.0,93.0,0.0,48.4421119,22.7185408,134.0,ghetto
Huszt,26.0,18.0,0.0,48.1764917,23.291166,44.0,place_of_birth
Ungvár,17.0,36.0,0.0,48.4078102,21.6517637,53.0,ghetto
Beregszász,15.0,19.0,0.0,48.2050985,22.6453246,34.0,ghetto
Balassagyarmat,9.0,10.0,0.0,48.0768832,19.2926037,19.0,ghetto
Alsóapsa,9.0,0.0,0.0,47.998241,23.835529,9.0,place_of_birth
Nagyvárad,8.0,3.0,0.0,47.0549163,21.9285231,11.0,place_of_birth
Kassa,6.0,5.0,0.0,48.7172272,21.2496774,11.0,place_of_birth
Miskolc,5.0,1.0,0.0,48.1030643,20.7900429,6.0,place_of_birth
Nagybocskó,5.0,0.0,0.0,47.973549,24.0147396,5.0,place_of_birth
Újpest,5.0,1.0,0.0,47.5586466,19.0797073,6.0,place_of_birth
Pátrona,4.0,0.0,0.0,36.4723351,-6.1972433,4.0,place_of_birth
Pécs,4.0,0.0,0.0,46.0765092,18.2280317,4.0,place_of_birth
Técso,4.0,1.0,0.0,48.01163,23.5783799,5.0,place_of_birth
Aknaszlatina,4.0,19.0,0.0,47.9470202,23.8747013,23.0,ghetto
Dombó,4.0,0.0,0.0,48.17917,23.88599,4.0,place_of_birth
Máramarossziget,3.0,0.0,0.0,47.9283242,23.8915583,3.0,place_of_birth
Középapsa,3.0,0.0,0.0,47.982441,23.90316,3.0,place_of_birth
Zsolna,3.0,0.0,0.0,49.2234674,18.7393139,3.0,place_of_birth
Perecseny,3.0,0.0,0.0,48.73707,22.48764,3.0,place_of_birth
Csornok,3.0,0.0,0.0,48.1534962,18.2251815,3.0,place_of_birth
Oroszvég,3.0,0.0,0.0,48.4493403,22.7201326,3.0,place_of_birth
Bilke,3.0,0.0,0.0,47.4741402,9.6529019,3.0,place_of_birth
Szerednye,3.0,0.0,0.0,48.5413858,22.5043823,3.0,place_of_birth
Szatmárnémeti,3.0,2.0,0.0,47.7891763,22.8725598,5.0,place_of_birth
Tárkány,3.0,0.0,0.0,47.5900913,18.0017805,3.0,place_of_birth
Felsovisó,3.0,3.0,0.0,47.7099597,24.4311547,6.0,place_of_birth
Békéscsaba,2.0,1.0,0.0,46.6798003,21.0985425,3.0,place_of_birth
Gyula,2.0,0.0,0.0,46.6438656,21.2747575,2.0,place_of_birth
Érsekujvár,2.0,2.0,0.0,47.9861843,18.1631415,4.0,place_of_birth
Alsószinever,2.0,0.0,0.0,48.492279,23.621639,2.0,place_of_birth
Szentmiklós,2.0,0.0,0.0,48.5005201,22.84435,2.0,place_of_birth
Szolyva,2.0,0.0,0.0,48.5460735,22.9895489,2.0,place_of_birth
Kajászószentpéter,2.0,0.0,0.0,47.3264844,18.7217551,2.0,place_of_birth
Körösmező,2.0,0.0,0.0,48.2722802,24.3611884,2.0,place_of_birth
Nagykároly,2.0,0.0,0.0,47.6829338,22.4695102,2.0,place_of_birth
Alsóverecke,2.0,0.0,0.0,48.770844,23.096771,2.0,place_of_birth
Wien,2.0,0.0,0.0,48.2083537,16.3725042,2.0,place_of_birth
Pestszenterzsébet,2.0,2.0,0.0,47.42553265,19.116992237470157,4.0,place_of_birth
Szeged,2.0,2.0,0.0,46.2546312,20.1486016,4.0,place_of_birth
Érsekújvár,2.0,1.0,0.0,47.9861843,18.1631415,3.0,place_of_birth
Székesfehérvár,2.0,2.0,0.0,47.1910169,18.410811,4.0,place_of_birth
Herincse,2.0,0.0,0.0,48.266369,23.42869,2.0,place_of_birth
Komjáti,2.0,0.0,0.0,48.5457027,20.7607737,2.0,place_of_birth
Gyor,2.0,0.0,0.0,47.687609,17.6346815,2.0,place_of_birth
Magyarkomját,2.0,0.0,0.0,48.2395893,22.9819763,2.0,place_of_birth
Bustyaháza,2.0,0.0,0.0,48.0486521,23.4862834,2.0,place_of_birth
Majdan,2.0,0.0,0.0,50.45024305,30.52406114197569,2.0,place_of_birth
Nagyberezna,2.0,0.0,0.0,48.88985,22.45812,2.0,place_of_birth
Jánosháza,2.0,0.0,0.0,47.1198765,17.1642699,2.0,place_of_birth
Szerencs,2.0,0.0,0.0,48.1633851,21.2010881,2.0,place_of_birth
Tiszaújlak,2.0,0.0,0.0,48.111071,22.8378912,2.0,place_of_birth
Szobránc,2.0,0.0,0.0,48.7446501,22.1806628,2.0,place_of_birth
Gánya,2.0,0.0,0.0,48.12767,23.82729,2.0,place_of_birth
Csepe,2.0,0.0,0.0,48.071529,23.018248,2.0,place_of_birth
Polena,2.0,0.0,0.0,48.624252,22.967024,2.0,place_of_birth
Királyhelmec,2.0,0.0,0.0,48.4223618,21.9804775,2.0,place_of_birth
Németporuba,2.0,0.0,0.0,49.0551889,19.6489264,2.0,place_of_birth
Ilosva,2.0,0.0,0.0,48.31924,23.0417599,2.0,place_of_birth
Szeklence,2.0,1.0,0.0,48.117165,23.382006,3.0,place_of_birth
Kökényes,2.0,0.0,0.0,48.071709,23.738371,2.0,place_of_birth
Hársfalva,2.0,0.0,0.0,48.557854,23.027519,2.0,place_of_birth
Beregrákos,1.0,0.0,0.0,48.467831,22.596352,1.0,place_of_birth
Dunaharaszti,1.0,0.0,0.0,47.359976,19.0953357,1.0,place_of_birth
Hódmezovásárhely,1.0,0.0,0.0,46.4171344,20.3196068,1.0,place_of_birth
Enying,1.0,0.0,0.0,46.9269341,18.2449727,1.0,place_of_birth
Kisapsa,1.0,0.0,0.0,48.074451,23.957411,1.0,place_of_birth
Botfalva,1.0,0.0,0.0,48.5816499,22.2009687,1.0,place_of_birth
Szelevény,1.0,0.0,0.0,46.8034945,20.1973333,1.0,place_of_birth
Nemesmilitics,1.0,0.0,0.0,45.8533938,19.2048515,1.0,place_of_birth
Felsőszopor,1.0,0.0,0.0,47.4335685,22.765492,1.0,place_of_birth
Fülek,1.0,0.0,0.0,48.2701641,19.8222938,1.0,place_of_birth
Pocsaj,1.0,0.0,0.0,47.2821487,21.8048015,1.0,place_of_birth
Dömsöd,1.0,0.0,0.0,47.094771,19.0070461,1.0,place_of_birth
Gödöllo,1.0,0.0,0.0,47.601529,19.3476981,1.0,place_of_birth
Mátészalka,1.0,7.0,0.0,47.9539113,22.3208477,8.0,ghetto
Pestszentlőrinc,1.0,0.0,0.0,47.4553681,19.1810669,1.0,place_of_birth
Rozsnyó,1.0,0.0,0.0,48.6620675,20.5328607,1.0,place_of_birth
Alsószinevér,1.0,0.0,0.0,48.492279,23.621639,1.0,place_of_birth
Gyöngyös,1.0,0.0,0.0,47.7799838,19.9291176,1.0,place_of_birth
Halmi,1.0,0.0,0.0,47.9789957,23.0136502,1.0,place_of_birth
Komárom,1.0,0.0,0.0,47.7417349,18.1218256,1.0,place_of_birth
Dolha,1.0,0.0,0.0,48.8360089,21.9807673,1.0,place_of_birth
Tapolca,1.0,1.0,0.0,46.8820972,17.4389619,2.0,place_of_birth
Zagyvapálfalva,1.0,0.0,0.0,48.0675467,19.7850269,1.0,place_of_birth
Poszony,1.0,0.0,0.0,47.1960408,16.3735434,1.0,place_of_birth
Szentgál,1.0,0.0,0.0,47.1125816,17.7351064,1.0,place_of_birth
Gesztely,1.0,0.0,0.0,48.1027448,20.9648967,1.0,place_of_birth
Sirok,1.0,0.0,0.0,47.9308649,20.1957821,1.0,place_of_birth
