,geoplot,invalidPlot
0,sachsenhausen,k?rösmez?
1,germendorf,técs?
2,siemensstadt,pestszentl?rincz
3,neubrandenburg,nagysz?l?s
4,ravensbrück,t?cs
5,wöbbelin,nagysz?ll?s (6 hét)
6,budapest,nagysz?ll?s
7,orianenburg,fels?ripnyice
8,ordruf,csörg?
9,türkheim,fels?szopor
10,kaufering,fels?visó
11,allach,fels?veresmart
12,újpest,mez?kövesd
13,rökk szilárd utca 26. internálótábor,
14,püspökladány,
15,mátészalka,
16,auschwitz,
17,gelsenber,
18,k?rösmez?,
19,ungvár,
20,mauthausen,
21,melk,
22,ebensee,
23,mircse,
24,wolfsberg,
25,tannhausen,
26,schotterwerk,
27,beregszász,
28,kisok-pálya,
29,dachau,
30,spandau,
31,nagysurány,
32,pécs,
33,görlitz,
34,munkács,
35,mühldorf,
36,voloc,
37,fertőrákos,
38,günskirchen,
39,paks,
40,wienerneustadt,
41,toronya,
42,budakalász,
43,bergen,
44,dudenshall,
45,theresienstedt,
46,lipstadt,
47,buchenwald,
48,remmsdorf,
49,theresienstadt,
50,hertine,
51,balassagyarmat,
52,bergen - belsen,
53,ragu,
54,aknaszlatina,
55,retzow,
56,középapsa,
57,munkaszolgálatos volt,
58,trezbinic,
59,szentes,
60,stutthof,
61,thorn,
62,schlossbirg,
63,olec,
64,szatmárnémeti,
65,birkenau,
66,bruck a./l,
67,bergen belsen,
68,monowitz,
69,beregrákos,
70,técs?,
71,schlesienses,
72,helmbrechts,
73,prachatjice,
74,iza,
75,berezova,
76,birnbäumel,
77,grosrosen,
78,saxenhausen,
79,flossenburg,
80,hersbruck,
81,bakonyszentkirály,
82,engerau,
83,gänskirchen,
84,nagybocskó,
85,ellenburst,
86,leonberg,
87,nádaspatak,
88,sátoraljaujhely,
89,bergenbelsen,
90,szerencs,
91,zagyvapálfalva,
92,braunschweig,
93,wattenstadt,
94,malchov,
95,fegyvernek,
96,(munkaszolgálat),
97,oranienburg,
98,glau,
99,csánig,
100,munkaszolgálat,
101,wappendorf,
102,técso,
103,buna,
104,halmi,
