volcano_number,volcano_name,primary_volcano_type,last_eruption_year,country,region,subregion,latitude,longitude,elevation,tectonic_settings,evidence_category,major_rock_1,major_rock_2,major_rock_3,major_rock_4,major_rock_5,minor_rock_1,minor_rock_2,minor_rock_3,minor_rock_4,minor_rock_5,population_within_5_km,population_within_10_km,population_within_30_km,population_within_100_km
210010,West Eifel Volcanic Field,Maar,-8300,Germany,Mediterranean and Western Asia,Western Europe,50.17,6.85,600,Rift zone / Continental crust (>25 km),Eruption Dated,Foidite, , , , ,Trachybasalt,Phonolite, , , ,94991,94991,232256,7945412
210020,Chaine des Puys,Lava dome,-4040,France,Mediterranean and Western Asia,Western Europe,45.775,2.97,1464,Rift zone / Continental crust (>25 km),Eruption Dated,Basalt,Trachybasalt, , , ,Trachyandesite,Trachyte, , , ,323392,323392,427221,1577243
210040,Calatrava Volcanic Field,Pyroclastic cone,-3600,Spain,Mediterranean and Western Asia,Western Europe,38.87,-4.02,1117,Intraplate / Continental crust (>25 km),Eruption Dated,Basalt,Foidite,Trachybasalt, , , , , , , ,197199,197199,197199,774386
211003,Vulsini,Caldera,-104,Italy,Mediterranean and Western Asia,Italy,42.6,11.93,800,Subduction zone / Continental crust (>25 km),Eruption Observed,Trachyte,Trachybasalt,Phonolite,Foidite,Phonotephrite, , , , , ,71789,71789,195475,4627250
211010,Campi Flegrei,Caldera,1538,Italy,Mediterranean and Western Asia,Italy,40.827,14.139,458,Subduction zone / Continental crust (>25 km),Eruption Observed,Trachyte,Phonolite,Trachyandesite, , ,Trachybasalt,Phonotephrite, , , ,2234109,2234109,3006865,6019697
211020,Vesuvius,Stratovolcano,1944,Italy,Mediterranean and Western Asia,Italy,40.821,14.426,1281,Subduction zone / Continental crust (>25 km),Eruption Observed,Phonotephrite,Phonolite,Trachyandesite,Trachybasalt,Trachyte, , , , , ,19162,675705,3907941,6009961
211030,Ischia,Complex,1302,Italy,Mediterranean and Western Asia,Italy,40.73,13.897,789,Subduction zone / Continental crust (>25 km),Eruption Observed,Trachyte,Trachyandesite, , , ,Phonolite,Trachybasalt,Phonotephrite, , ,18669,20210,383661,5729354
211040,Stromboli,Stratovolcano,2020,Italy,Mediterranean and Western Asia,Italy,38.789,15.213,924,Subduction zone / Continental crust (>25 km),Eruption Observed,Trachyandesite,Andesite,Basalt, , ,Trachyte,Trachybasalt, , , ,2225,2225,3894,1347563
211042,Lipari,Stratovolcano,1230,Italy,Mediterranean and Western Asia,Italy,38.49,14.933,590,Subduction zone / Continental crust (>25 km),Eruption Dated,Rhyolite,Andesite,Trachyandesite,Basalt,Dacite, , , , , ,26049,28925,36059,1564043
211050,Vulcano,Stratovolcano,1890,Italy,Mediterranean and Western Asia,Italy,38.404,14.962,500,Subduction zone / Continental crust (>25 km),Eruption Observed,Trachybasalt,Trachyandesite,Trachyte,Rhyolite,Basalt, , , , , ,2259,23059,86766,2093800
